%AS 1 ,%AS 2,%AS 3,%AS 4,%AS 5,%AS 6,%AS 7,%AS 8,%AS 9,%AS 10,%AS 11,%AS 12,%AS 13,%AS 14,%AS 15,%AS 16,%AS 17,%AS 18,%AS 19,%AS 20,%AS 21,%AS 22,%AS 23,%AS 24,%AS 25,%AS 26,%AS 27,%AS 28,%AS 29,%AS 30,%AS 31,%AS 32,%AS 33,%AS 34,%AS 36,%AS 38,%AS 39,%AS 40,%AS 41,%AS 42,%AS 43,%AS 44,%AS 45,%AS 46,%AS 47,%AS 48,%AS 49,%AS 50,%AS 51,%AS 52,%AS 53,%AS 56,%AS 57,%AS 58,%AS 59,%AS 60,%AS 61,%AS 62,%AS 63,%AS 64,%AS 65,%AS 66,%AS 67,%AS 68,%AS 69,%AS 70,%AS 71,%AS 72,%AS 73,%AS 74,%AS 75,%AS 76,%AS 77,%AS 78,%AS 79,%AS 80,%AS 81,%AS 82,%AS 83,%AS 84,%AS 85,%AS 86,%AS 87,%AS 88,%AS 89,%AS 90,%AS 91,%AS 92,%AS 93,%AS 94,%AS 95,%AS 96,%AS 97,%AS 98,%AS 99,%AS 100,%AS 101,%AS 102,%AS 103,%AS 104,%AS 105,%AS 106,%AS 107,%AS 108,%AS 109,%AS 110,%AS 111,%AS 112,%AS 113,%AS 114,%AS 115,%AS 116,%AS 117,%AS 118,%AS 119,%AS 120,%AS 121,%AS 122,%AS 123,%AS 124,%AS 125,%AS 126,%AS 127,%AS 128,%AS 129,%AS 130,%AS 131,%AS 132,%AS 133,%AS 134,%AS 135,%AS 136,%AS 137,%AS 138,%AS 139,%AS 140,%AS 141,%AS 142,%AS 143
62.86,79.84,75.19,80.26,80.74,80.46,80.88,78.47,72.0688,72.75813333,68.61366667,71.13206667,73.46686667,95.08726667,90.29653333,85.17133333,84.2168,83.0902,72.93026667,76.28893333,79.1998,78.60806667,72.9494,79.7498,75.80153333,75.28213333,76.53093333,74.7826,89.4022,84.13573333,89.06066667,85.5118,85.9136,83.51226667,99.14647619,87.07838095,89.35842857,91.78266667,63.76157143,65.30352381,69.13890476,78.0682381,80.9962381,66.18,96.16642857,80.72785714,71.04452381,78.25109524,77.80038095,78.13995238,62.66871429,72.45414286,83.3147619,73.697,85.61928571,91.49480952,86.48519048,68.84004762,71.56638095,66.6967619,70.86414286,70.87242857,67.60047619,78.73690476,62.278,71.3672381,68.00414286,87.88704762,72.85047619,93.26085714,72.1925,65.74,61.6425,61.17625,67.71625,64.48,78.5375,70.5925,74.825,75.51875,60.84375,56.16857143,71.10285714,60.53714286,54.19571429,76.39428571,63.72142857,68.71142857,60.08,71.81571429,84.34142857,55.11142857,76.88,78.69,70.722,79.392,72.918,87.954,65.95,67.13,63.47166667,53.77666667,53.03333333,76.75166667,58.915,91.31166667,98.07,78.63333333,63.49833333,58.28,77.23,35.255,58.715,50.92,64.22,68.775,77.92833333,73.15666667,78.08666667,94.78833333,64.57,80.48166667,63.67166667,56.79333333,80.65,77.32833333,56.85,81.65333333,72.195,95.52,35.65166667,70.01,82.835,49.62166667,67.75166667,65.12333333,65.44333333,83.4,71.94833333
60.46,77.11,73.54,78.57,77.64,78.12,78.21,75.39,70.91266667,69.643,67.3126,69.84646667,72.6264,94.2664,89.2208,84.16686667,82.81293333,82.08313333,71.35,75.14073333,78.04886667,77.55853333,71.5302,78.59273333,74.97166667,74.8096,76.0962,74.33446667,88.84113333,83.21833333,88.7998,84.91353333,85.23993333,82.9508,96.529,84.66438095,87.62419048,90.2202381,61.36,62.79580952,67.17452381,75.41204762,78.72390476,63.39661905,93.995,78.44752381,68.32561905,75.42190476,75.24752381,76.163,59.47638095,69.81952381,80.96452381,71.73714286,83.49380952,82.31352381,84.74295238,67.21757143,69.35647619,65.17947619,69.59442857,70.054,66.7247619,77.91490476,61.10028571,70.57004762,67.07952381,84.49047619,68.22571429,90.56509524,68.72375,59.58,56.62125,55.66125,63.41,57.7475,73.1175,64.8625,71.4425,71.33875,51.4675,42.67142857,60.71857143,50.30142857,42.76857143,71.17142857,54.67571429,55.87142857,48.46,64.77571429,77.37,42.87714286,72.862,74.218,66.08,69.444,69.654,85.55,59.924,65.24166667,60.43666667,51.605,48.63666667,73.63,56.66833333,89.42166667,96.47333333,74.85166667,59.52166667,42.735,74.50333333,32.98666667,55.96,47.14666667,59.905,65.95333333,72.31,39.04166667,65.695,91.975,55.565,75.00166667,60.58833333,51.07166667,79.145,70.98833333,46.73166667,73.93833333,67.30833333,90.37333333,30.555,56.82,76.34166667,39.49833333,64.48333333,57.52166667,57.35666667,79.77,68.50333333
57.86,74.33,71.78,76.9,74.31,76.18,75.53,72.32,69.68246667,68.52066667,65.67926667,68.6364,71.91973333,93.5524,88.21573333,83.01526667,81.79566667,81.33553333,70.1046,73.90853333,76.7932,76.49206667,69.8614,77.48373333,73.65946667,70.90713333,75.68826667,73.88066667,88.28306667,82.7752,88.5356,84.21206667,84.70733333,82.48246667,93.88566667,75.01614286,86.10814286,88.663,59.10166667,59.91004762,65.1322381,72.63052381,76.61647619,60.587,91.93852381,75.85761905,65.78814286,72.71014286,72.51366667,74.19271429,56.5362381,67.5572381,77.96580952,69.91133333,81.27990476,78.5902381,82.73071429,65.60447619,66.70690476,63.66109524,68.4857619,69.34033333,65.98195238,77.044,59.89485714,69.74590476,65.9712381,81.33447619,63.5102381,87.93209524,63.57625,53.5675,50.9275,51.2425,58.89125,52.33375,66.29625,58.75375,66.6475,69.03625,45.80375,30.19142857,51.09571429,44.43,38.71571429,68.01285714,45.56571429,40.77,36.15714286,58.78,71.62142857,32.59,68.886,68.79,62.27,58.978,63.342,82.832,55.188,63.19666667,58.31166667,48.66166667,44.62,71.03333333,54.945,86.56,95.265,71.32166667,56.00833333,25.46166667,70.57,30.485,53.14,43.095,56.13333333,64.64333333,67.035,22.84,53.745,51.90333333,41.93333333,69.48666667,58.71333333,49.29833333,76.745,68.43166667,40.07666667,67.51,61.76,84.105,25.37333333,41.66,69.97666667,27.585,61.84166667,50.02166667,48.82833333,75.75666667,55.73
55.17,71.7,69.79,75.08,71.15,73.97,73.02,69.44,68.42033333,67.32106667,64.089,67.03653333,71.13253333,92.54493333,87.23566667,81.74086667,80.63353333,80.48713333,68.42353333,72.5924,75.58613333,75.50926667,68.20586667,76.23173333,72.41973333,70.354,75.258,73.44986667,87.90953333,82.34946667,88.34533333,83.74726667,84.201,81.87593333,91.40019048,72.80995238,84.12938095,86.98285714,56.91795238,57.39128571,63.15633333,69.99109524,74.60842857,57.81804762,89.81795238,73.423,63.4462381,69.9037619,69.88357143,72.10838095,53.43247619,65.19209524,75.1922381,68.06428571,79.08485714,74.80257143,80.73761905,64.12457143,65.06085714,62.03138095,66.62285714,68.62042857,65.13585714,76.24738095,58.45742857,68.90742857,64.93471429,78.51242857,58.78557143,84.6527619,57.28375,48.36875,46.05875,47.7575,54.32375,46.685,64.1425,52.09875,61.43625,64.41625,41.0175,22,41.93285714,37.89428571,32.73571429,59.14285714,38.89285714,36.03,29.43142857,53.56,65.78,22.77285714,63.556,62.754,58.206,53.438,46.218,76.58,52.07,60.87,55.82666667,46.335,41.52166667,69.19,53.05,84.09166667,93.12166667,67.32166667,52.27166667,12.76333333,67.75166667,28.07166667,49.05333333,39.16166667,49.47166667,62.45333333,62.295,13.39333333,25.81166667,45.54333333,31.62833333,62.60833333,56.085,44.865,74.17666667,63.56333333,33.79666667,62.86166667,55.39,75.155,20.185,28.15333333,64.92833333,15.49666667,59.52833333,42.12833333,40.79333333,64.33166667,52.68333333
52.36,68.93,67.77,73.27,68.02,72.15,70.29,66.56,67.18873333,66.0786,62.61166667,65.582,70.27133333,90.986,86.26086667,80.47773333,79.49646667,79.3786,66.75653333,71.33146667,74.26206667,74.45686667,66.67166667,75.0058,71.28013333,69.73906667,74.3824,72.97686667,89.81693333,87.22186667,81.85286667,88.02426667,83.31013333,81.16326667,89.00485714,70.74152381,82.20752381,85.05428571,54.4237619,54.79780952,61.22352381,67.27833333,72.2892381,55.08009524,87.77680952,71.1587619,61.04142857,67.0162381,67.26557143,70.186,49.71790476,63.13914286,72.52695238,66.01471429,77.20395238,70.97857143,79.01880952,62.65847619,63.50652381,60.40019048,65.34747619,67.79238095,64.18252381,75.39390476,57.06395238,68.05842857,64.0462381,74.67880952,53.93361905,81.85761905,52.72875,43.33625,40.95875,44.4025,49.3875,40.2475,61.56,44.99125,58.345,57.00375,34.8825,12.53142857,37.28714286,32.82571429,22.37571429,52.06,28.41428571,29.95571429,14.15571429,46.76571429,60.27,15.97142857,60.086,57.256,54.534,43.136,41.77,69.212,44.64,58.47166667,53.96166667,43.53166667,38.31833333,66.44333333,50.75833333,80.16,91.77833333,63.21,48.42666667,4.731666667,64.92833333,25.775,45.76333333,35.19333333,45.46833333,59.785,58.13333333,6.908333333,16.23,39.83166667,22.88166667,49.47166667,53.08666667,40.09666667,70.475,64.965,27.71833333,61.10166667,48.92,69.06333333,15.06333333,17.72833333,37.64,5.576666667,56.95,31.90833333,33.61333333,62.13,47.62
49.74,66.08,65.77,71.39,64.95,69.76,67.58,63.84,65.8682,64.89946667,60.98706667,64.07286667,69.4896,89.7722,85.2142,79.35846667,78.37933333,78.50113333,65.14046667,70.06853333,72.41606667,73.38333333,65.1614,73.64053333,70.1378,69.27333333,73.93646667,72.49706667,89.2342,86.66186667,81.22753333,87.69853333,82.80153333,80.45806667,86.42119048,68.56347619,80.26038095,83.125,52.02047619,52.14295238,59.31990476,64.63033333,69.97347619,52.42614286,85.58938095,68.74761905,58.47590476,64.24047619,64.63380952,68.05771429,46.18295238,60.86957143,69.62238095,63.96271429,75.29142857,67.43428571,77.15790476,60.91642857,61.55590476,58.68614286,63.52119048,67.01947619,63.25709524,74.28466667,55.76514286,67.25228571,63.05271429,71.48695238,48.99271429,78.62442857,48.1325,37.37375,37.125,40.88,46.76125,33.16,57.045,38.21125,55.22,54.90125,29.8425,10.09142857,31.69714286,29.65571429,12.76428571,45.73428571,19.54,22.47714286,8.437142857,41.16142857,49.75714286,13.16,57.476,51.122,50.898,33.066,41.74,62.844,41.78,56.22666667,50.97333333,40.01,36.13,64.59666667,47.87666667,67.375,90.205,53.81166667,44.03833333,0.953333333,60.38166667,23.705,42.08833333,31.28833333,38.94166667,56.925,53.76333333,1.775,8.07,35.93,17.74833333,45.455,49.57333333,32.83,64.74833333,61.295,22.85666667,55.39166667,39.93833333,63.18333333,9.503333333,9.755,29.38666667,0.286666667,54.565,25.945,25.52,59.59333333,44.64
47.27,63.25,63.78,69.49,61.63,67.36,64.96,61.01,64.60346667,63.839,59.53646667,62.73153333,68.4856,88.77893333,84.10573333,78.23806667,77.34293333,77.5454,63.51393333,68.8482,70.825,72.33833333,63.67266667,72.245,69.15366667,68.78286667,73.4486,72.03493333,88.73373333,86.2086,80.71,87.4216,82.1826,79.83233333,83.787,66.40795238,78.3367619,81.32,49.83,49.50271429,57.3937619,61.939,67.77642857,49.8282381,83.29357143,66.35552381,55.95838095,61.62142857,62.12009524,65.67404762,43.11738095,58.76809524,66.76104762,62.0322381,73.28738095,63.48104762,75.46780952,59.20347619,60.49757143,56.99957143,61.64661905,66.30866667,62.44790476,73.08090476,54.38071429,66.457,61.96733333,68.0952381,44.23004762,75.57257143,41.56,31.535,32.0625,37.275,43.18125,25.175,50.5525,33.42,51.71625,50.5925,25.43375,6.098571429,22.59428571,23.60714286,6.475714286,41.65571429,13.77,13.47571429,2.761428571,34.19,44.30714286,10.85857143,53.97,44.646,46.982,24.874,28.976,64.916,38.888,53.96166667,46.96333333,31.235,33.67666667,61.11333333,44.36666667,63.08166667,88.665,49.64,39.33833333,0,55.61833333,21.38333333,38.83,27.19833333,33.75833333,53.88666667,49.41166667,0,2.385,32.295,10.18833333,41.17666667,46.80333333,28.01333333,58.61,54.305,16.555,49.15833333,24.73166667,55.75833333,4.935,5.12,22.30666667,0,41.81833333,22.15166667,17.08333333,56.57333333,41.47833333
44.75,60.49,61.77,67.73,58.27,65.06,62.43,58.42,63.27446667,62.46133333,58.0852,61.68886667,67.86666667,87.90313333,83.08606667,77.262,76.27213333,76.38806667,61.83173333,67.59506667,69.59073333,71.21433333,62.2194,70.96326667,67.84433333,68.14786667,73.07046667,71.617,88.0826,85.6444,80.26113333,87.0938,81.77033333,79.28346667,81.31371429,64.5422381,76.34238095,79.52566667,47.44871429,46.96847619,55.47247619,59.1902381,65.36238095,47.30347619,80.86452381,63.70114286,53.50919048,58.84271429,59.47819048,63.52042857,40.02790476,56.15461905,64.04166667,60.08714286,71.33295238,59.68114286,73.51661905,57.59061905,58.54609524,55.2437619,60.01380952,65.58661905,61.61742857,71.94538095,53.01847619,65.58880952,60.9387619,63.65042857,39.58504762,72.69252381,34.89875,24.4525,26.24875,34.17375,38.25,19.8,45.16125,28.64875,48.75875,44.8125,17.6075,3.047142857,17.17857143,16.63714286,1.182857143,33.30428571,9.447142857,7.077142857,1.22,26.32428571,39.14142857,,50.178,28.072,42.65,21.07,25.324,63.658,35.494,51.34166667,43.30166667,28.78833333,31.66333333,57.27666667,40.69,59.105,87.135,45.28666667,34.87833333,0,51.22666667,19.53166667,36.30833333,23.225,27.81333333,50.54166667,45.48333333,0,0,27.97833333,3.821666667,37.01833333,43.625,24.385,54.79166667,49.29,12.245,42.855,19.01,49.05166667,3.103333333,1.813333333,16.43333333,0,38.40166667,17.285,9.173333333,52.45,37.98833333
42.2,57.49,59.87,65.93,55.15,63.02,59.67,55.8,61.951,61.21973333,56.6606,60.60073333,67.19166667,86.945,81.9766,76.02,75.2536,75.1168,60.1134,66.26233333,68.09266667,70.11126667,60.72613333,69.62293333,66.5736,67.63686667,72.62373333,71.13593333,87.308,85.08106667,79.64706667,86.73306667,81.2546,78.62533333,78.65261905,62.99180952,74.30009524,77.5792381,44.94761905,44.3527619,53.53661905,56.56538095,62.77257143,44.76252381,78.59633333,60.98809524,51.15290476,56.07509524,56.93004762,61.63657143,36.36442857,53.60447619,61.36614286,58.30380952,69.36485714,55.89247619,71.59671429,55.714,56.87833333,53.45085714,58.674,64.62814286,60.65914286,70.78214286,51.63071429,64.81638095,59.87504762,59.97995238,35.05009524,69.54095238,29.19,19.82,22.29125,30.3875,33.3625,16.5825,40.99375,24.0975,46.135,38.84625,11.275,0.958571429,17.13714286,11.71285714,,27.96571429,5.777142857,2.121428571,,21.85714286,33.83428571,,45.998,22.692,37.912,15.76,21.874,58.76,32.028,37.42833333,39.395,26.825,29.33666667,55.26666667,37.49,56.44666667,85.60833333,41.89166667,30.11666667,0,47.59666667,18.26333333,33.29666667,19.46,21.505,48.005,42.33833333,0,0,24.02333333,1.86,32.88166667,40.52,19.41,52.13166667,47.325,8.073333333,36.1,13.60666667,39.56,2.8,0.203333333,10.85333333,0,34.84,13.45833333,1.451666667,49.19666667,34.60666667
39.76,54.91,57.92,64.08,51.98,60.61,57.07,53.08,60.60706667,59.9938,55.13453333,59.29613333,66.07666667,85.82993333,80.81813333,74.87593333,74.1924,74.229,58.5118,64.92546667,66.64126667,69.00586667,59.20073333,68.3344,65.40186667,67.1104,72.14626667,70.7972,86.5344,84.42926667,79.14126667,86.33453333,80.5474,77.92846667,76.31909524,61.33319048,72.32904762,75.71961905,42.61814286,41.86966667,51.63604762,54.044,60.296,42.35538095,76.20857143,58.41395238,48.65152381,53.34028571,54.42242857,59.617,32.71685714,51.18495238,58.38514286,56.30519048,67.53652381,52.32880952,69.82657143,53.86271429,55.28314286,51.6527619,54.65380952,63.72461905,59.70614286,69.61947619,50.36971429,63.87380952,58.84280952,56.68580952,30.59790476,66.77014286,24.2825,15.8225,19.54625,25.6525,30.0475,13.9075,39.09,20.2225,43.005,35.71125,9.33125,,13.41428571,9.227142857,,24.35714286,3.057142857,,,18.79714286,31.04857143,,41.58,19.196,33.346,11.786,18.848,51.024,30.675,34.635,34.31166667,25.07,26.135,52.9,34.55833333,55.43333333,84.06,38.35833333,24.80333333,,43.77666667,17.28333333,30.235,16.04333333,15.35166667,42.24,39.82666667,,0,20.39833333,1.638333333,28.79,36.995,15.28833333,49.66833333,44.895,6.676666667,30.705,7.795,23.83333333,2.683333333,0,5.956666667,,31.41166667,11.31166667,0,46.59333333,31.32833333
37.31,51.94,56.04,62.12,49.1,58.46,54.41,50.63,59.24846667,58.69433333,53.86026667,58.02653333,65.09526667,84.73306667,79.8384,73.7624,73.21266667,73.30326667,56.9658,63.84593333,65.24413333,67.87726667,57.75946667,67.0726,64.61806667,66.47393333,71.74153333,70.39973333,85.77773333,83.91186667,78.61453333,85.92946667,80.01173333,77.24153333,73.88180952,59.70952381,70.44647619,73.83285714,40.53628571,39.35371429,49.77457143,51.48695238,57.98219048,40.02866667,73.97971429,55.9602381,46.1902381,50.78671429,51.91957143,57.60504762,29.60852381,48.84109524,55.37814286,54.45780952,65.53333333,48.73080952,68.05757143,52.00371429,53.41328571,49.92952381,52.88019048,62.92142857,58.88052381,68.43428571,49.12133333,63.04561905,57.84357143,53.5567619,26.34509524,63.71590476,19.80125,11.74125,16.79875,21.3025,25.40125,11.81,36.32125,16.545,39.1675,32.38,6.33875,,10.15142857,8.518571429,,19.47714286,,,,15.41,29.20142857,,38.06,16.1,29.454,8.944,16.18,45.826,,31.99,27.97166667,22.53666667,23.02666667,50.32,32.22833333,51.10833333,82.715,34.68833333,19.60333333,,39.89333333,16.37666667,26.875,12.70666667,10.54166667,39.01666667,34.34833333,,,16.23833333,1.373333333,24.47833333,32.61333333,12.05,46.895,39.315,5.51,25.19833333,3.115,14.56166667,2.613333333,0,1.785,,27.53833333,8.766666667,0,33.73666667,28.05
34.78,49.08,54.15,60.34,46,56.07,51.87,48.15,57.82426667,57.69746667,52.38033333,56.82286667,64.1832,83.6076,78.66266667,72.72866667,72.25373333,72.25626667,55.33833333,62.88033333,63.80046667,66.70293333,56.43606667,65.78226667,63.669,65.74706667,71.39533333,69.98913333,85.13933333,83.35973333,77.99226667,85.65026667,79.56853333,76.5912,71.67633333,58.08933333,68.538,71.94866667,38.45804762,36.93842857,47.81580952,48.94257143,55.64852381,37.6492381,71.48547619,53.25547619,43.83514286,48.33133333,49.45009524,55.52047619,26.58695238,47.05819048,52.71409524,52.67061905,63.38028571,45.05157143,65.977,50.31090476,51.7002381,48.17895238,51.30052381,62.12919048,58.00542857,67.538,47.72795238,62.16790476,56.81747619,50.05385714,22.29452381,60.69904762,16.76125,9.52625,12.205,17.58,19.85625,9.9525,33.9675,12.77875,37.1975,28.665,3.805,,6.132857143,6.094285714,,14.71857143,,,,12.4,24.47571429,,35.26,13.084,25.808,8.076,14.19,43.436,,29.01333333,21.73166667,20.57833333,19.84833333,48.29833333,29.41,49.47333333,81.29166667,31.15333333,15.655,,36.22166667,14.86,24.72333333,9.493333333,7.311666667,36.62666667,31.655,,,11.95666667,1.308333333,20.16333333,27.86666667,10.13666667,44.515,34.825,4.62,21.16833333,2.54,6.378333333,,,0.068333333,,23.63333333,5.186666667,0,28.98333333,24.21666667
32.26,46.23,52.28,58.39,42.79,53.75,49.35,45.48,56.42846667,56.49666667,50.7544,55.581,63.50746667,82.63813333,77.36426667,71.75486667,71.3144,71.5252,53.8394,61.83026667,62.30153333,65.599,55.013,64.50946667,62.48086667,65.08726667,71.02206667,69.59833333,84.405,82.75706667,77.47546667,85.30133333,79.0556,75.87533333,69.37295238,56.56904762,66.3762381,69.75066667,36.19490476,34.737,45.95214286,46.6987619,53.10747619,35.28233333,69.23242857,50.59419048,41.25185714,45.88361905,46.92785714,53.3722381,23.33971429,44.94957143,49.96304762,50.745,61.35790476,41.56828571,63.78709524,48.69995238,49.95547619,46.47395238,49.87009524,61.19819048,56.97861905,66.49766667,46.44928571,61.12909524,55.79809524,46.04790476,18.35919048,57.88652381,15.35125,6.92125,8.26625,14.755,15.31625,8.31875,29.955,9.68625,34.30625,25.485,1.6025,,,,,9.485714286,,,,9.9,20.01285714,,32.542,10.208,21.734,5.128,12.406,40.968,,26.33,18.82833333,18.53333333,17.25166667,45.57666667,27.065,47.11666667,79.33666667,28.40666667,11.97333333,,32.415,13.605,23.27166667,6.655,3.93,33.795,28.88,,,7.35,1.241666667,15.31,23.29666667,8.681666667,42.59666667,30.59666667,4.416666667,15.99333333,,2.775,,,0,,20.21,2.106666667,,25.09333333,20.85666667
