%AS 1 ,%AS 2,%AS 3,%AS 4,%AS 5,%AS 6,%AS 7,%AS 8,%AS 9,%AS 10,%AS 11,%AS 12,%AS 13,%AS 14,%AS 15,%AS 16,%AS 17,%AS 18,%AS 19,%AS 20,%AS 21,%AS 22,%AS 23,%AS 24,%AS 25,%AS 26,%AS 27,%AS 28,%AS 29,%AS 30,%AS 31,%AS 32,%AS 33,%AS 34,%AS 36,%AS 38,%AS 39,%AS 40,%AS 41,%AS 42,%AS 43,%AS 44,%AS 45,%AS 46,%AS 47,%AS 48,%AS 49,%AS 50,%AS 51,%AS 52,%AS 53,%AS 56,%AS 57,%AS 58,%AS 59,%AS 60,%AS 61,%AS 62,%AS 63,%AS 64,%AS 65,%AS 66,%AS 67,%AS 68,%AS 69,%AS 70,%AS 71,%AS 72,%AS 73,%AS 74,%AS 75,%AS 76,%AS 77,%AS 78,%AS 79,%AS 80,%AS 81,%AS 82,%AS 83,%AS 84,%AS 85,%AS 86,%AS 87,%AS 88,%AS 89,%AS 90,%AS 91,%AS 92,%AS 93,%AS 94,%AS 95,%AS 96,%AS 97,%AS 98,%AS 99,%AS 100,%AS 101,%AS 102,%AS 103,%AS 104,%AS 105,%AS 106,%AS 107,%AS 108,%AS 109,%AS 110,%AS 111,%AS 112,%AS 113,%AS 114,%AS 115,%AS 116,%AS 117,%AS 118,%AS 119,%AS 120,%AS 121,%AS 122,%AS 123,%AS 124,%AS 125,%AS 126,%AS 127,%AS 128,%AS 129,%AS 130,%AS 131,%AS 132,%AS 133,%AS 134,%AS 135,%AS 136,%AS 137,%AS 138,%AS 139,%AS 140,%AS 141,%AS 142,%AS 143
29.74,43.49,50.42,56.4,39.59,51.59,46.87,43.04,55.10633333,55.33366667,49.28406667,54.4078,62.77486667,81.72566667,76.43313333,70.85646667,70.40446667,70.5754,52.34566667,60.78766667,60.97113333,64.4018,53.68666667,63.2428,61.1308,64.5956,70.6284,69.21593333,83.53026667,82.1168,76.94906667,84.8336,78.48993333,75.22753333,67.13533333,54.87342857,64.43561905,67.81214286,34.01166667,32.5412381,44.18757143,44.64219048,50.69457143,33.079,67.01166667,47.79766667,38.43004762,43.41271429,44.47666667,51.31080952,20.2822381,42.11871429,47.30166667,48.90495238,59.21385714,38.137,61.59352381,46.92714286,48.41842857,44.72114286,48.43080952,60.35142857,56.07319048,65.22361905,45.16119048,60.16480952,54.69190476,42.64014286,14.55628571,54.89090476,13.4425,3.77,5.37,12.205,11.41625,6.56625,27.84125,7.5925,31.71875,21.7075,0.14,,,,,7.054285714,,,,,16.09428571,,29.158,7.212,16.674,2.004,10.464,38.786,,23.56666667,17.49166667,16.55,14,43.905,24.215,42.93,74.66666667,24.9,7.666666667,,28.83833333,12.52,20.02,3.98,1.47,30.98166667,26.315,,,3.576666667,,10.79666667,18.07333333,7.298333333,39.825,24.715,4.326666667,10.315,,2.675,,,0,,16.77333333,0.133333333,,21.79666667,17.715
27.29,40.71,48.56,54.48,36.44,49.38,44.37,40.77,53.87393333,54.14166667,47.92406667,53.23413333,61.92053333,80.63046667,75.4706,69.72046667,69.468,69.43993333,50.98273333,59.70386667,59.52706667,63.28573333,52.37913333,61.9964,59.80946667,63.96406667,70.2408,68.781,82.62846667,81.63373333,76.40553333,84.42806667,77.91266667,74.57853333,64.98804762,53.13938095,62.55738095,65.935,31.99404762,30.43328571,42.45180952,42.39490476,48.44080952,30.93333333,64.75833333,45.07328571,35.67809524,40.90871429,42.10419048,49.38704762,17.34780952,40.21204762,44.36433333,47.12014286,57.23214286,34.86919048,59.68638095,45.24995238,47.03485714,43.00452381,46.8247619,59.51914286,55.15790476,64.19633333,43.77504762,59.163,53.61195238,39.46390476,10.87963333,51.88890476,9.9725,2.6675,1.89875,9.2075,7.72,3.755,23.41625,5.86125,28.8325,15.94875,,,,,,3.922857143,,,,,13.40857143,,27.656,5.208,11.394,0.22,7.962,37.58,,20.33666667,15.05666667,14.19166667,11.39333333,40.8,21.00833333,39.53166667,73.07166667,21.80166667,3.728333333,,24.96,11.50666667,16.91333333,1.3,0.066666667,28.83166667,23.63,,,2.448333333,,5.811666667,3.656666667,5.988333333,34.97166667,23.20166667,4.193333333,6.298333333,,2.65,,,0,,13.27666667,0,,17.90833333,14.575
25.02,38.02,46.71,52.55,33.3,46.9,41.97,38.42,52.547,53.10593333,46.48353333,51.74086667,61.17033333,79.1418,74.6742,68.67226667,68.5416,68.46653333,49.37993333,58.5378,58.19886667,62.1458,51.1802,60.75953333,58.87573333,63.44873333,69.92426667,68.3448,81.8068,81.0326,75.98433333,83.97833333,77.47833333,73.8018,62.92890476,51.35438095,60.68047619,64.019,30.16557143,28.34190476,40.66466667,40.1447619,46.22357143,28.81519048,62.48242857,42.46409524,33.05685714,38.42814286,39.78042857,47.36947619,14.26066667,38.2902381,41.53595238,45.31614286,55.06866667,31.62542857,57.95104762,43.58980952,45.36604762,41.295,45.23957143,58.70661905,54.15147619,63.086,42.41833333,58.15385714,52.61614286,36.70985714,7.374447619,49.08119048,6.2675,0.435,,6.07375,3.105,,19.41625,4.47,25.38875,12.6175,,,,,,1.621428571,,,,,11.10571429,,25.896,5.042,6.628,,5.48,34.518,,17.73666667,10.94666667,12.13,9.633333333,37.79166667,17.68666667,36.28666667,71.545,18.86833333,0.925,,20.57,10.40333333,15.41666667,0,,25.93833333,21.1,,,0.981666667,,0.748333333,3.403333333,5.388333333,30.70833333,20.30833333,4.128333333,4.985,,,,,,,9.968333333,0,,14.64666667,5.653333333
22.68,35.38,44.89,50.56,30.25,44.11,39.63,36.26,51.18253333,52.05273333,45.10833333,50.5564,59.4166,77.7366,73.55666667,67.645,67.63773333,67.56553333,48.0126,57.36446667,56.84526667,61.11226667,49.8008,59.54113333,58.0236,62.82966667,69.54913333,67.89093333,81.00066667,80.41273333,75.35853333,83.52913333,76.92386667,73.18,60.91204762,49.60914286,59.00342857,62.03480952,28.13133333,26.50109524,38.95938095,38.28804762,43.8542381,26.72328571,59.86252381,39.88133333,30.50733333,36.09652381,37.44666667,45.44685714,11.47542857,36.33019048,38.83180952,43.57871429,53.03557143,28.41604762,55.69552381,42.06580952,43.70671429,39.62642857,43.85952381,57.72661905,53.10252381,61.79042857,41.09309524,57.01957143,51.52657143,33.83752381,4.168028571,46.19738095,4.1025,,,3.4025,2.3525,,15.96375,2.7725,23.43125,9.89875,,,,,,,,,,,9.981428571,,23.94,3.27,2.72,,3.144,32.136,,15.61,5.67,10.60666667,7.951666667,34.855,15.32166667,34.585,70.32166667,16.23,0,,16.72166667,9.023333333,14.215,0,,22.61833333,16.67,,,0.546666667,,0,2.81,5.301666667,28.165,17.725,4.128333333,4.885,,,,,,,7.166666667,0,,11.46,2.038333333
20.41,32.85,43.14,48.42,27.23,42.15,37.33,34.25,49.92133333,51.00726667,43.8252,49.47886667,58.03266667,76.54253333,72.64326667,66.60893333,66.66573333,66.7102,46.758,56.265,55.65226667,60.10226667,48.43726667,58.30053333,56.97986667,62.19593333,69.17506667,67.45206667,80.32213333,79.79126667,74.7998,83.15993333,76.10386667,72.48093333,58.92090476,47.7642381,57.3722381,60.03733333,26.12652381,24.686,37.59685714,36.50757143,41.55009524,24.65871429,57.31747619,37.28414286,27.97357143,33.90590476,35.17328571,43.66604762,9.005152381,34.47857143,36.02595238,41.6482381,51.113,25.3717619,53.68628571,40.40547619,42.18490476,37.98166667,42.2002381,56.82752381,52.15485714,60.67109524,39.77319048,55.97304762,50.41980952,30.91452381,1.74164619,43.21095238,,,,1.3575,0.4525,,13.81875,0.955,21.07875,8.55125,,,,,,,,,,,,,21.068,1.894,0.274,,1.25,30.956,,13.56666667,1.905,9.088333333,6.561666667,31.82333333,13.06333333,32.31333333,69.10666667,13.50166667,0,,13.17333333,7.508333333,13.065,0,,19.91166667,14.6,,,0.203333333,,,,5.366666667,26.47,15.26333333,,4.835,,,,,,,4.405,,,7.72,0.046666667
18.27,30.32,41.48,46.34,24.35,40.07,35.04,32.02,48.7074,50.13606667,42.64533333,48.49233333,57.10593333,75.42413333,71.59006667,65.5164,65.7398,65.83366667,45.35993333,55.22486667,54.53006667,59.1466,46.98646667,57.3216,55.89653333,61.49453333,68.73986667,67.07946667,79.64286667,79.16373333,74.18713333,82.81046667,75.75326667,71.75486667,56.995,45.96366667,55.65828571,58.19980952,24.23152381,22.96138095,36.09533333,34.60866667,39.47161905,22.68838095,54.76595238,34.773,25.43914286,31.68685714,32.99142857,41.91880952,6.708247619,32.27166667,33.00052381,39.77114286,49.2152381,22.41647619,51.89328571,38.85452381,40.87428571,36.30604762,40.56109524,55.97604762,51.20661905,59.66071429,38.34357143,54.989,49.28395238,28.13685714,0.506460476,40.35957143,,,,,,,9.68875,,19.125,5.21125,,,,,,,,,,,,,18.878,0.274,,,,30.092,,11.84666667,0,7.455,5.126666667,29.16833333,11.06666667,30.905,67.81166667,10.585,0,,9.683333333,5.838333333,11.87166667,,,17.01666667,12.31333333,,,0.115,,,,5.431666667,24.40333333,11.57833333,,,,,,,,,1.773333333,,,3.278333333,
16.12,27.92,40.03,44.37,21.6,37.95,32.94,30.09,47.4836,49.32066667,41.2148,47.31,56.15786667,74.49033333,70.49113333,64.3804,64.79733333,64.63653333,43.92386667,54.12033333,53.44846667,58.25346667,45.6892,56.38893333,54.95826667,60.89506667,68.30793333,66.73506667,78.7726,78.52606667,73.58473333,82.3482,75.24046667,71.21173333,55.12442857,44.24266667,53.97319048,56.41033333,22.41733333,21.37957143,34.49119048,32.70419048,37.4337619,20.75133333,52.31561905,32.43147619,23.174,29.56404762,30.88866667,40.15857143,4.542628571,29.83685714,30.04328571,37.98047619,47.33909524,19.65814286,50.08519048,37.35652381,39.25080952,34.69204762,39.14728571,55.16885714,50.16028571,58.63209524,36.99528571,54.0762381,48.22785714,25.36219048,0.15338,37.51233333,,,,,,,7.43375,,16.9225,1.9675,,,,,,,,,,,,,17.53,,,,,28.514,,9.728333333,0,5.925,3.84,27.37666667,9.128333333,29.2,66.33,7.915,,,6.108333333,4.151666667,10.535,,,14.07333333,10.01833333,,,0.07,,,,,22.04,9.063333333,,,,,,,,,0.066666667,,,0.358,
13.98,25.56,38.27,42.54,18.89,35.58,30.77,27.67,46.2554,48.22853333,39.82433333,46.02313333,55.1854,73.7258,69.3416,63.20553333,63.0146,63.66753333,42.44293333,53.03406667,52.2434,57.22913333,44.42746667,55.3164,53.7594,60.28746667,67.91353333,66.30566667,77.93633333,77.92273333,73.09693333,81.86926667,74.58906667,70.5492,53.478,42.71104762,52.22185714,54.352,20.72585714,19.89404762,32.9867619,31.09161905,35.28109524,18.83190476,49.87228571,30.12909524,20.83390476,27.60495238,28.82547619,38.34690476,2.564561905,27.78957143,27.11552381,36.05442857,45.40880952,16.92419048,48.2237619,35.93909524,37.74714286,33.115,37.73019048,54.24266667,49.05066667,57.32233333,35.634,53.15471429,47.16052381,22.61766667,0.129968095,34.629,,,,,,,5.15625,,14.21625,0.3125,,,,,,,,,,,,,15.73,,,,,25.946,,7.481666667,0,4.376666667,3.256666667,25.22333333,6.203333333,26.93166667,64.85166667,6.005,,,2.721666667,2.77,9.373333333,,,11.97,8.051666667,,,0.023333333,,,,,19.765,7.155,,,,,,,,,0,,,,
11.99,23.36,36.57,40.64,16.31,33.21,28.59,25.52,45.1068,47.18833333,38.7068,44.8384,54.27006667,72.78533333,68.36913333,62.08906667,61.56753333,62.77446667,41.1256,51.94086667,51.00486667,56.2586,43.172,54.14773333,52.6972,59.675,67.47366667,65.78213333,77.12346667,77.32146667,72.65166667,81.41386667,74.02226667,69.91166667,52.01190476,41.27971429,50.50447619,52.47738095,19.18771429,18.47690476,31.63757143,29.51147619,33.13795238,16.99,47.36242857,27.68442857,18.54085714,25.75185714,26.75557143,36.72957143,0.880228571,26.14252381,24.15957143,34.38342857,43.44771429,14.31247619,46.32857143,34.39557143,36.30804762,31.4692381,35.98371429,53.39304762,48.06795238,56.0197619,34.32428571,52.25909524,46.00604762,20.10233333,,31.76438095,,,,,,,3.35,,11.8275,,,,,,,,,,,,,,13.934,,,,,23.086,,6.466666667,,2.836666667,3.816666667,22.22333333,3.17,24.01333333,63.35166667,4.818333333,,,,1.853333333,8.165,,,9.633333333,5.468333333,,,,,,,,17.73333333,6.068333333,,,,,,,,,0,,,,
10.04,21.23,34.84,38.84,13.89,31.31,26.36,23.44,43.84173333,46.11053333,37.38186667,43.68853333,53.11573333,71.79373333,67.40073333,61.02773333,60.49573333,61.9546,39.74026667,50.71306667,49.67053333,55.21386667,41.8148,52.93446667,51.70146667,58.97173333,66.97613333,65.47106667,76.38893333,76.90146667,72.071,80.97386667,73.4358,69.18173333,50.59857143,39.86214286,48.92619048,50.7047619,17.64252381,17.19080952,30.32314286,27.98138095,31.20490476,15.22057143,44.76752381,25.45071429,16.4307619,23.97390476,24.78638095,35.19604762,0,24.49390476,21.28895238,32.58514286,41.50280952,11.78480952,44.354,32.81619048,35.03309524,29.90233333,34.30409524,52.594,47.151,54.86461905,32.98842857,51.30009524,44.89590476,17.60019048,,28.96661905,,,,,,,,,10.702,,,,,,,,,,,,,,12.322,,,,,19.826,,5.596666667,,1.461666667,4.353333333,18.73833333,0.668333333,21.30833333,61.64166667,4.438333333,,,,1.301666667,6.89,,,7.711666667,5.848333333,,,,,,,,14.00833333,5.171666667,,,,,,,,,0,,,,
8.23,19.31,33.21,37.01,11.54,29.14,24.07,21.46,42.48986667,45.0114,36.18646667,42.4404,52.3166,70.789,66.30053333,59.99313333,59.6326,61.12513333,38.50913333,49.4958,48.43386667,54.21706667,40.52166667,51.79866667,50.6722,58.3298,66.51346667,65.14253333,75.7088,76.4236,71.51666667,80.56266667,72.87193333,68.52326667,49.33409524,38.3717619,47.37661905,48.88228571,15.99814286,15.91942857,28.96466667,26.382,29.38557143,13.51290476,42.35295238,23.3637619,14.42871429,22.25480952,22.91428571,33.59185714,0,22.72042857,18.52638095,30.57104762,39.66771429,9.415161905,42.25942857,31.27052381,33.49819048,28.33638095,32.79838095,51.80938095,46.086,53.68319048,31.67752381,50.33147619,43.86295238,14.65780952,,26.11195238,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.624,,3.326666667,,0.28,,15.51666667,0,19.23,59.85833333,4.326666667,,,,1.051666667,5.571666667,,,6.05,5.781666667,,,,,,,,10.83833333,7.198333333,,,,,,,,,,,,,
6.45,17.4,31.59,35.12,9.34,27.18,21.72,19.39,41.2834,44.0232,34.77486667,41.30146667,51.66473333,69.7674,65.34386667,58.99406667,58.6748,60.18566667,37.1824,48.44686667,47.29553333,53.37266667,39.3698,50.731,49.8628,57.63546667,65.9688,64.7822,75.0972,75.90253333,70.92326667,80.24433333,72.42173333,67.80993333,47.81633333,37.32695238,45.90609524,46.94242857,14.3722381,14.69828571,27.71528571,24.72985714,27.46880952,11.87195238,39.96080952,21.28885714,12.73104762,20.72247619,21.03138095,31.97909524,,20.82833333,15.98895238,28.88185714,37.7837619,7.234028571,40.14957143,29.78066667,31.90471429,26.84042857,31.41080952,50.92161905,45.033,52.26980952,30.34728571,49.25342857,42.81271429,11.34471429,,23.34242857,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.468,,2.86,,0,,12.77166667,0,17.84166667,58.10666667,4.325,,,,0.866666667,4.003333333,,,5.49,5.668333333,,,,,,,,8.9,5.171666667,,,,,,,,,,,,,
4.73,15.58,30.06,33.35,7.34,25.22,19.4,17.39,40.0994,42.932,33.58526667,40.1804,50.8698,68.65393333,64.36593333,57.92953333,57.67446667,59.3004,35.895,47.3616,45.94366667,52.444,38.1724,49.76313333,48.62086667,56.94686667,65.59973333,64.3546,74.41773333,75.30506667,70.44586667,79.77953333,71.91906667,67.21426667,46.27261905,36.15847619,44.51328571,45.04447619,12.90280952,13.52071429,26.61052381,23.31719048,25.53157143,10.2816381,37.56195238,19.18995238,11.40985714,19.27038095,19.2042381,30.53461905,,18.93690476,13.62961905,27.23195238,35.84590476,5.206133333,38.30095238,28.35447619,30.44957143,25.40614286,30.19057143,50.13228571,44.07438095,50.97314286,29.01,48.20861905,41.79142857,8.258038095,,20.62814286,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.708,,2.976666667,,,,9.893333333,0,17.25833333,56.42,,,,,0.89,2.79,,,5.401666667,5.646666667,,,,,,,,7.335,6.913333333,,,,,,,,,,,,,
3.13,13.84,28.5,31.62,5.42,23.35,17.08,15.26,38.78833333,41.89766667,32.23226667,39.00993333,49.53013333,67.351,63.36166667,56.8916,56.6722,58.55106667,34.5932,46.27293333,44.56926667,51.44266667,36.86593333,48.77226667,47.2508,56.34773333,65.208,63.94993333,73.62013333,74.8288,69.9356,79.30893333,71.41,66.6032,44.94966667,34.65685714,42.98261905,43.32047619,11.50409524,12.42519048,25.48685714,22.13561905,23.6757619,8.743190476,35.08561905,17.2537619,10.02040952,17.83857143,17.42928571,29.136,,17.3117619,11.51180952,25.5507619,33.98290476,3.417057143,36.32066667,26.85604762,29.01052381,23.91885714,28.87161905,49.3807619,43.16347619,49.79080952,27.66371429,47.27571429,40.95480952,5.37547619,,17.91047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.956,,3.07,,,,6.878333333,,17.21,54.60666667,,,,,,2.393333333,,,5.4,,,,,,,,,5.595,5.776666667,,,,,,,,,,,,,
1.65,12.16,27.16,29.83,3.95,21.43,14.76,13.28,37.4846,40.73953333,31.19586667,37.82526667,48.55633333,66.14286667,62.26906667,55.8574,55.83753333,57.55693333,33.3348,45.166,43.3188,50.42226667,35.6932,47.76566667,46.15453333,55.76313333,64.74893333,63.46813333,72.68613333,74.27653333,69.289,78.84973333,70.83466667,65.937,43.58838095,33.06728571,41.50366667,41.56752381,10.05552381,11.39209524,24.339,20.89109524,21.89504762,7.286790476,32.76666667,15.42242857,8.578152381,16.39157143,15.73261905,27.69452381,,15.76890476,9.431457143,23.92366667,32.19166667,1.975533333,34.2257619,25.32928571,27.66528571,22.49228571,27.40038095,48.56571429,42.17,48.6007619,26.34338095,46.32880952,40.16661905,2.431273333,,15.34819048,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,,,4.681666667,,17.35666667,53.14333333,,,,,,1.506666667,,,,,,,,,,,,4.646666667,6.86,,,,,,,,,,,,,
0.53,10.53,25.83,28.16,2.78,19.59,12.65,11.32,36.19393333,39.7784,30.10326667,36.45173333,47.9592,64.95926667,61.1892,54.81173333,54.90966667,56.4828,32.0736,44.0426,42.2152,49.5082,34.509,46.77433333,45.3832,55.13786667,64.27246667,62.97373333,71.89766667,73.68713333,68.74733333,78.38953333,70.21446667,65.2844,42.27219048,31.46752381,40.21828571,39.72947619,8.611466667,10.38800952,23.22866667,19.54433333,20.17071429,5.912742857,30.50247619,13.62009524,7.195333333,15.00252381,14.05928571,26.23085714,,14.12247619,7.397961905,22.04638095,30.33247619,0.729971429,32.34371429,23.89133333,26.27409524,21.20028571,26.0967619,47.701,41.1257619,47.24557143,25.06761905,45.36104762,39.19628571,0,,12.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.828,,,,,,2.106666667,,,52.03166667,,,,,,0.371666667,,,,,,,,,,,,4.355,6.863333333,,,,,,,,,,,,,
0,9.08,24.6,26.52,1.86,17.88,10.47,9.5,34.9774,38.75993333,28.9126,35.1474,47.0878,63.92273333,60.20253333,53.7926,52.7946,55.74786667,30.8612,42.85713333,40.9972,48.56453333,33.29993333,45.74053333,44.07773333,54.496,63.88626667,62.57246667,71.24626667,73.26046667,68.29446667,78.04866667,69.61166667,64.57213333,40.9637619,29.96395238,38.90028571,37.90909524,7.245590476,9.428619048,22.22219048,18.46019048,18.45452381,4.614038095,28.31390476,11.81690476,5.954580952,13.68647619,12.43133333,24.91304762,,12.65519048,5.377838095,20.23071429,28.54833333,0,30.32266667,22.53695238,24.8702381,19.91690476,24.97785714,46.92690476,40.2037619,46.09038095,23.80042857,44.43852381,38.27142857,,,10.39339524,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.994,,,,,,0.588333333,,,50.58,,,,,,0.14,,,,,,,,,,,,4.265,6.595,,,,,,,,,,,,,
,7.75,23.36,24.9,,16.23,8.44,7.77,33.91453333,37.79393333,27.75313333,34.1592,46.18313333,62.75346667,59.13426667,52.85533333,51.5552,54.98853333,29.66206667,41.7396,39.8172,47.5386,32.1238,44.5686,42.92046667,53.7956,63.44886667,62.20393333,70.6484,72.90733333,67.61353333,77.65353333,69.0394,63.8272,39.70533333,28.47842857,37.64304762,36.1372381,5.971714286,8.526838095,21.2812381,17.49257143,16.71990476,3.431495238,26.08614286,10.16734286,4.777219048,12.39947619,10.86204762,23.67385714,,11.4822381,3.34547619,18.57685714,26.83985714,,28.27919048,21.21404762,23.50461905,18.66004762,23.80538095,46.19409524,39.299,44.99952381,22.51,43.6322381,37.54214286,,,8.098314286,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.356,,,,,,,,,48.92333333,,,,,,0.093333333,,,,,,,,,,,,4.106666667,6.613333333,,,,,,,,,,,,,
,6.52,22.15,23.24,,14.68,6.44,6.21,32.8748,36.82606667,26.3298,33.10106667,45.3758,61.6648,58.1226,51.85866667,50.61233333,54.33506667,28.447,40.68286667,38.5402,46.53673333,30.99613333,43.59773333,41.85613333,53.07473333,62.94153333,61.80753333,69.94753333,72.33646667,67.00253333,77.15653333,68.54813333,63.16433333,38.499,27.36847619,36.38338095,34.49385714,4.75827619,7.644133333,20.29652381,16.55419048,15.10104762,2.416390476,23.97490476,8.579314286,3.770095238,11.10966667,9.331342857,22.32561905,,10.34534286,1.455695238,16.91414286,25.06866667,,26.29190476,19.86214286,22.29704762,17.442,22.46814286,45.34719048,38.27766667,43.80852381,21.26190476,42.7437619,36.90233333,,,5.965890476,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.808,,,,,,,,,47.53166667,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.41,20.94,21.74,,13.03,4.57,4.76,31.71973333,35.81306667,25.1916,32.02086667,44.4894,60.70233333,57.1846,50.83973333,49.72813333,53.541,27.2942,39.701,37.37113333,45.53393333,29.9498,42.65373333,40.81246667,52.44693333,62.47073333,61.42146667,69.16313333,71.8818,66.41293333,76.74846667,67.97506667,62.51146667,37.1297619,26.18285714,35.10328571,32.90095238,3.562238095,6.778980952,19.27595238,15.58590476,13.51509524,1.54992381,21.96757143,7.034761905,2.83127619,9.900380952,7.847333333,21.01714286,,9.3162,0,15.24219048,23.28152381,,24.33895238,18.56604762,21.09409524,16.28338095,21.05195238,44.5407619,37.32609524,42.45519048,20.03704762,41.78247619,36.06290476,,,4.007828571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,46.22666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
